Cuisine,Review.link,Name,Coordinates_y,Coordinates_x,foodRating,serviceRating,atmosphereRating,priceRating
Japanese,"https://www.google.com/maps/place/Touhenboku+Ramen/@43.6502028,-79.3916884,17z/data=!4m8!3m7!1s0x882b34cfd179ac21:0x3d6a78f5c3fb147f!8m2!3d43.6502028!4d-79.3891081!9m1!1b1!16s%2Fg%2F11b6qqqf2_?entry=ttu",Touhenboku Ramen,43.6502,-79.3917,Positive,Positive,Neutral,0
Thai,"https://www.google.com/maps/place/Khao+San+Road/@43.6463952,-79.3961854,17z/data=!4m8!3m7!1s0x882b34da7dad8cb1:0x84a49d999dbfe4ca!8m2!3d43.6463952!4d-79.3936158!9m1!1b1!16s%2Fg%2F1thxlps9?entry=ttu",Khao San Road,43.6464,-79.3962,Positive,Positive,Positive,1
Thai,"https://www.google.com/maps/place/PAI/@43.6478528,-79.3913099,17z/data=!4m8!3m7!1s0x882b34d9289991d5:0x5f596deace8d8b6a!8m2!3d43.6478528!4d-79.3887403!9m1!1b1!16s%2Fg%2F11b6dv0rlh?entry=ttu",PAI,43.6479,-79.3913,Positive,Positive,Positive,3
Thai,"https://www.google.com/maps/place/Koh+Lipe+Thai+Kitchen/@43.6558307,-79.3959999,17z/data=!4m18!1m9!3m8!1s0x882b35f0470e1121:0x141cb88c6f2ec1b0!2sKoh+Lipe+Thai+Kitchen!8m2!3d43.6558307!4d-79.3934303!9m1!1b1!16s%2Fg%2F11g4cjc0_5!3m7!1s0x882b35f0470e1121:0x141cb88c6f2ec1b0!8m2!3d43.6558307!4d-79.3934303!9m1!1b1!16s%2Fg%2F11g4cjc0_5?entry=ttu",Koh Lipe Thai Kitchen,43.6558,-79.396,Positive,Neutral,Positive,1
Thai,"https://www.google.com/maps/place/Thai+Country+Kitchen/@43.6561819,-79.4021792,17z/data=!4m8!3m7!1s0x882b34c1709563df:0xf024a7f07a2c2dc8!8m2!3d43.6561819!4d-79.3996096!9m1!1b1!16s%2Fg%2F1thz28vk?entry=ttu",Thai Country Kitchen,43.6562,-79.4022,Positive,Positive,Positive,0
Thai,"https://www.google.com/maps/place/SukhoTHAI+(Wellington)/@43.6485556,-79.3772335,17z/data=!4m8!3m7!1s0x89d4cb31ffed5941:0x5705156a5bfe8275!8m2!3d43.6485556!4d-79.3746639!9m1!1b1!16s%2Fg%2F1pp2vm886?entry=ttu",SukhoTHAI (Wellington),43.6486,-79.3772,Positive,Positive,Positive,0
Thai,"https://www.google.com/maps/place/Evergreen+Thai+Kitchen+and+Bar/@43.6550417,-79.3889177,17z/data=!4m8!3m7!1s0x882b34c95bdaf383:0xc31d09995345ffde!8m2!3d43.6550417!4d-79.3863481!9m1!1b1!16s%2Fg%2F1tdh4hj6?entry=ttu",Evergreen Thai Kitchen and Bar,43.655,-79.3889,Positive,Positive,Neutral,2
Thai,"https://www.google.com/maps/place/Urban+Thai/@43.6624707,-79.3695887,17z/data=!4m8!3m7!1s0x89d4cb45da9a6ed3:0x4289fb92b2c35478!8m2!3d43.6624707!4d-79.3670191!9m1!1b1!16s%2Fg%2F11gf8hx402?entry=ttu",Urban Thai,43.6625,-79.3696,Positive,Positive,Negative,0
Thai,"https://www.google.com/maps/place/Maya+Bay+Thai/@43.6643455,-79.370744,17z/data=!4m8!3m7!1s0x89d4cb17ed51a82d:0x76228cb24c376490!8m2!3d43.6643455!4d-79.3681744!9m1!1b1!16s%2Fg%2F11fvswcj9k?entry=ttu",Maya Bay Thai,43.6643,-79.3707,Positive,Positive,Positive,2
Thai,"https://www.google.com/maps/place/Mengrai+Thai/@43.6541134,-79.3694965,17z/data=!4m8!3m7!1s0x89d4cb39ba35f65f:0x3a3a6bc7adf0d42!8m2!3d43.6541134!4d-79.3669269!9m1!1b1!16s%2Fm%2F052m49h?entry=ttu",Mengrai Thai,43.6541,-79.3695,Positive,Positive,Positive,1
